Article URL,0
https://yle.fi/uutiset/3-9650953,
https://yallalabarra.wordpress.com/2017/05/15/director-of-white-helmets-idlib-branch-calls-the-al-qaeda-affiliate-hts-my-brothers/,
https://www.yahoo.com/newsroom/vibes/donald-trump/v-88cfc604-82db-3595-984d-76ff5706bcff_c-06d1c515-a4e4-315a-8184-8ce066acfdbd_a-06d1c515-a4e4-315a-8184-8ce066acfdbd,
https://www.yahoo.com/news/us-horrified-killing-syrian-rescuers-194420549.html,
https://www.yahoo.com/news/seven-members-syria-apos-white-130042290.html,
https://www.yahoo.com/news/latest-rebels-fighting-damascus-suburbs-kill-20-133821600.html,
https://www.yahoo.com/news/7-white-helmets-members-shot-dead-northwestern-syria-090426442.html,"Associated Press, The Associated Press, "
https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963?mod=fox_australian,
https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963?mod=e2tw,
https://www.wsj.com/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963,
https://www.wsj.com/amp/articles/seven-white-helmets-members-shot-dead-in-northwestern-syria-1502542963,
https://www.wired.com/2017/04/white-helmets-conspiracy-theory/amp,"Syria Civil Defence, "
https://www.wired.com/2017/04/white-helmets-conspiracy-theory/,"Syria Civil Defence, "
https://www.wired.com/2017/04/white-helmets-conspiracy-theory,"Syria Civil Defence, "
https://www.wired-gov.net/wg/news.nsf/articles/Foreign+Secretary+condemns+murder+of+White+Helmets+volunteers+15082017092032,"Twitter, "
https://www.whitehelmets.org/en,
https://www.whitehelmets.org/,
https://www.whatdotheyknow.com/request/funding_given_to_white_helmets_i,
https://www.welt.de/politik/ausland/article165905578/Trump-s-Red-Line.html,
https://www.washingtonpost.com/pb/world/,
https://www.washingtonpost.com/news/worldviews/wp/2016/08/23/we-run-towards-the-screams-meet-the-aleppo-rescue-team-that-saved-5-year-old-omran/,"Middle East Institute, Reuters, Wendy Chamberlin, Associated Press, "
https://www.washingtonpost.com/news/checkpoint/wp/2017/06/28/mattis-claims-syria-heeds-u-s-warnings-over-chemical-strike-they-didnt-do-it/,"Brussels, Reuters, Wednesday, "
https://www.voanews.com/a/us-condemns-murders-of-7-syrian-white-helmets/3984041.html,
https://www.voanews.com/a/3984041.html/,
https://www.voanews.com/a/3984041.html,
https://www.veteranstoday.com/2017/08/16/damascus-us-uk-supply-toxic-agents-to-terrorist-groups-in-syria/,"Agent, Al Jazeera, Wednesday, "
https://www.veteranstoday.com/2017/06/06/family-of-famous-syrian-child-disclose-white-helmets-lies/,
https://www.veteranstoday.com/2017/05/05/breaking-al-jazeera-white-helmets-stage-fake-chemical-attack-new-details/,
https://www.veteranstoday.com/2017/05/02/white-helmets-fakery-rakes-in-the-cash/,"Vanessa Beeley, Twitter, "
https://www.veteranstoday.com/2017/04/06/swedish-medical-associations-says-white-helmets-murdered-kids-for-fake-gas-attack-videos/,"The Indicter, "
https://www.veteranstoday.com/2017/04/06/swedish-medical-associations-says-white-helmets-murde,"The Indicter, "
https://www.veteranstoday.com/2017/03/17/white-helmets-whole-existence-fraudulent-oscar-winning-film-fraud/,"The Guardian, Vanessa Beeley, Al Jazeera, "
https://www.veteranstoday.com/2017/01/11/white-helmets-allied-with-al-qaeda-on-damascus-water-terrorism/,"Brandon Turbeville, Vanessa Beeley, "
https://www.veteranstoday.com/2016/11/22/busted-syrias-white-helmets-the-cias-secret-weapon-to-aid-isis/,"Vanessa Beeley, Twitter, "
https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,
https://www.usnews.com/news/world/articles/2017-08-12/7-white-helmets-members-shot-dead-in-northwestern-syria,"Associated Press, The Associated Press, "
https://www.upi.com/Top_News/World-News/2017/08/12/Gunmen-kill-7-White-Helmets-volunteers-in-Syria/1281502546139/,"Aug., Twitter, "
https://www.thurles.info/2017/08/10/white-helmets-win-tipperary-peace-award/,
https://www.thetimes.co.uk/article/assad-is-here-to-stay-west-tells-syrian-opposition-g0s5hxqmk,
https://www.thesun.co.uk/news/2400414/theresa-may-and-jeremy-corbyn-came-together-to-urge-people-to-buy-a-charity-single-in-memory-of-slain-mp-jo-cox/,
https://www.thescoopradioshow.com/busted-video-appears-to-show-white-helmets-aiding-al-qaeda-fighters/,"David G, Press Association, Twitter, "
https://www.therussophile.org/white-helmets-superfan-george-clooney-to-move-family-back-to-us-from-uk-over-terrorism-fears-caused-by-refugee-policies-he-supported.html/,"Twitter, "
https://www.therussophile.org/white-helmets-severed-heads-of-syrian-arab-army-soldiers-paraded-as-trophies-endorsed-by-channel-4.html/,"Daily Mail, "
https://www.therussophile.org/uk-funded-oscar-awarded-white-helmets-caught-beheading-syrian-army-bodies-graphic-video.html/,
https://www.therussophile.org/the-fraud-of-the-white-helmets-an-impressive-piece-of-propaganda.html/,"Eva Bartlett, Vanessa Beeley, Twitter, "
https://www.therussophile.org/russian-fm-zakharova-white-helmets-part-of-large-scale-defamation-campaign-against-syrian-government.html/,"Max Blumenthal, Review, "
https://www.therussophile.org/russia-questions-opcws-omission-of-white-helmets-video-used-to-justify-u-s-strike-on-syria.html/,
https://www.therussophile.org/russia-envoy-points-to-absence-of-white-helmets-video-in-opcw-report-on-sarin-gas-attack.html/,"Brandon Turbeville, "
https://www.therussophile.org/john-pilger-white-helmets-are-a-complete-propaganda-construct-in-syria.html/,
https://www.therussophile.org/james-le-mesurier-the-former-british-mercenary-who-founded-the-white-helmets.html/,
https://www.therussophile.org/documentaries-of-deception-fake-documentary-of-natos-white-helmets-in-syria.html/,"Vanessa Beeley, "
https://www.therussophile.org,"Documentaries, "
https://www.thepetitionsite.com/tell-a-friend/37957314,
https://www.thenational.ae/world/mena/seven-white-helmet-volunteers-shot-dead-in-syria-1.619105,
https://www.thenational.ae/arts-culture/television/viewing-from-the-middle-east-the-best-of-what-s-on-netflix-1.609717,"Twitter, "
https://www.themaven.net/humanrightsfoundation/middle-east/press-release-syria-white-helmets-co-founder-speaks-out-against-regime-violence-Jgzk76BP40C9npB61bN7aQ,"Syria Civil Defence, "
https://www.theguardian.com/world/2017/sep/06/syrian-regime-dropped-sarin-on-rebel-held-town-in-april-un-confirms,
https://www.theguardian.com/world/2017/jun/05/syria-boy-omran-daqneesh-new-footage-aleppo-siege?CMP=twt_gu,
https://www.theguardian.com/world/2017/jun/01/the-philippine-suicide-squad-saving-civilians-trapped-on-isis-frontline,
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers?platform=hootsuite,"Twitter, Wednesday, "
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers?CMP=twt_gu,"Twitter, "
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers?CMP=soc_568,"Twitter, "
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers?CMP=edit_2221,"Twitter, "
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers,"Twitter, "
https://www.theguardian.com/uk-news/2016/nov/12/jo-cox-white-helmets-peace-prize-coventry,"Twitter, "
https://www.theguardian.com/politics/2017/mar/06/amber-rudd-secret-billion-pound-conflict-stability-security-fund,"David G, Brendan Cox, Twitter, "
https://www.theguardian.com/global-development-professionals-network/2016/sep/23/enough-is-enough-its-time-to-protect-aid-workers,
https://www.theguardian.com/film/video/2017/feb/27/white-helmets-dedicate-oscar-to-humanitarian-workers-video,"Twitter, "
https://www.theguardian.com/film/2016/dec/20/george-clooney-white-helmets-syria-civil-defence,
https://www.theguardian.com/commentisfree/2017/jun/15/cuts-fire-service-putting-lives-at-risk,"Syria Civil Defence, "
https://www.thefuture.ie/tipperary-international-peace-award-to-honour-war/,
https://www.thedailybeast.com/us-backed-moderate-rebels-behead-a-child-near-aleppo,"Eva Bartlett, "
https://www.theapricity.com/forum/showthread.php,"Twitter, "
https://www.theamericanconservative.com/articles/ex-weapons-inspector-trumps-sarin-claims-built-on-lie/,
https://www.theamericanawakening.org/,"Twitter, "
https://www.telesurtv.net/english/opinion/Rhymes-Reasons-Interview-with-Vanessa-Beeley-20170802-0010.html,
https://www.telesurtv.net/english/news/Rhymes-Reasons-Interview-with-Vanessa-Beeley-20170802-0010.html,
https://www.telesurtv.net/english/news/Questions-Arise-over-Death-of-Young-Man-in-Venezuela-Protests-20170507-0013.html,"Vanessa Beeley, "
https://www.telesurtv.net/english/amp/english/news/Rhymes-Reasons-Interview-with-Vanessa-Beeley-20170802-0010.html,"Vanessa Beeley, "
https://www.tasnimnews.com/en/news/2017/05/29/1422893/washington-london-funding-white-helmets-in-syria-british-analyst-video,"Author, Reuters, Wednesday, "
https://www.strategic-culture.org/news/2016/10/25/the-white-helmets-controversy.html,"Vanessa Beeley, "
https://www.state.gov/r/pa/prs/ps/2017/08/273404.htm,"The Guardian, Vanessa Beeley, Al Jazeera, "
https://www.standard.co.uk/news/uk/white-helmets-wow-crowds-with-jawdropping-stunts-as-they-launch-final-tour-a3625526.html,"Max Blumenthal, The Syria Campaign, The Independent, Rick Sterling, Vanessa Beeley, Nicholas Kristof, "
https://www.spreaker.com/episode/12738758,
https://www.sott.net/article/360434-Smells-like-White-Helmets-Rebel-trained-children-in-Syria-pretend-to-be-chemical-attack-victims,
https://www.sott.net/article/359510-Mainstream-media-weeps-over-deaths-of-terrorist-brigade-White-Helmets-a-documented-wing-of-al-Nusra-front,
https://www.sott.net/article/359082-Seven-White-Helmets-members-shot-in-head-in-Idlib-UPDATE,
https://www.sott.net/article/357989-James-Le-Mesurier-The-former-British-mercenary-who-founded-NATOs-fake-humanitarian-White-Helmets,
https://www.sott.net/article/356596-Russian-FM-Zakharova-White-Helmets-part-of-large-scale-defamation-campaign-against-Syrian-government,
https://www.sott.net/article/356382-Russia-envoy-points-to-absence-of-White-Helmets-video-in-OPCW-report-on-sarin-gas-attack,"Vanessa Beeley, "
https://www.sott.net/article/356132-White-Helmets-superfan-George-Clooney-to-move-family-back-to-US-from-UK-over-terrorism-fears-caused-by-refugee-policies-he-supported,
https://www.sott.net/article/355780-Hollywood-promotes-yet-another-lie-The-fraud-of-the-White-Helmets,"Vanessa Beeley, Twitter, "
https://www.sott.net/article/354565-Documentaries-of-deception-Fake-documentary-of-NATOs-White-Helmets-in-Syria,
https://www.sott.net/article/354494-White-Helmets-volunteer-caught-with-rebels-dumping-beheaded-bodies,
https://www.sott.net/article/354348-White-Helmets-Severed-heads-of-Syrian-Arab-Army-soldiers-paraded-as-trophies-also-endorsed-by-Channel-4,
https://www.sott.net/article/353025-MSM-propaganda-turns-against-itself-Family-of-bleeding-Boy-in-Ambulance-from-Aleppo-tells-truth,"Max Blumenthal, "
https://www.sott.net/article/352136,
https://www.sott.net/article/350518-Video-confirms-White-Helmets-are-Al-Qaedas-Hidden-Soldiers,"Twitter, "
https://www.sott.net/article/346249-Inside-the-White-Helmets-HQ-Another-perspective-by-Pierre-Le-Corf,"Eva Bartlett, Vanessa Beeley, Sheila Coombes, Twitter, "
https://www.sott.net/article/318008-The-White-Helmets-A-rescue-and-assist-organization-for-terrorists,"Twitter, "
https://www.sott.net/,"Syria Civil Defence, "
https://www.sharjah24.ae/en/arabic/243962-,"Vanessa Beeley, "
https://www.salon.com/2017/05/25/yet-another-video-shows-u-s-funded-white-helmets-assisting-public-held-executions-in-rebel-held-syria_partner/,
https://www.rubikon.news/artikel/whistleblower-enthullt-wie-der-fuhrende-nato-verbundete-den-is-bewaffnet-und-unterstutzt,"Inc., History, Rick Sterling, Vanessa Beeley, Twitter, "
https://www.rte.ie/news/player/six-one-news/,
https://www.rt.com/viral/367775-white-helmets-mannequin-challenge/,
https://www.rt.com/usa/397153-cia-operation-syria-end/,
https://www.rt.com/uk/379702-conflict-fund-secretive-spending/,"Journalist, "
https://www.rt.com/shows/crosstalk/361887-white-helmets-aid-pr/,
https://www.rt.com/op-edge/401994-omran-aleppo-boy-syria/,"Vanessa Beeley, Twitter, "
https://www.rt.com/op-edge/395002-syria-israel-military-terrorism/,"Hamburg, Reuters, "
https://www.rt.com/op-edge/391958-aylan-omran-child-victims-syria-propaganda/,
https://www.rt.com/news/393809-white-helmets-mutilated-bodies/#.WU4RcAKyH8c.twitter,"Eva Bartlett, Vanessa Beeley, "
https://www.rt.com/news/393809-white-helmets-mutilated-bodies/,"Eva Bartlett, Vanessa Beeley, "
https://www.rt.com/news/391336-amanpour-aleppo-boy-challenge/,"Rick Sterling, Twitter, "
https://www.rt.com/news/391198-aleppo-boy-rt-interview/,"Eva Bartlett, Twitter, "
https://www.rt.com/news/388960-white-helmets-execution-footage/,"Eva Bartlett, Vanessa Beeley, Twitter, "
https://www.rt.com/news/381542-white-helmets-al-qaeda-members/,"Eva Bartlett, Vanessa Beeley, Twitter, "
https://www.rt.com/news/378695-oscar-white-helmets-win/,
https://www.rt.com/news/370344-white-helmets-aleppo-residents/,
https://www.rt.com/news/363363-white-helmets-funded-west/,"Eva Bartlett, Wednesday, "
https://www.rt.com/document/59364c4ac3618889518b4584/amp,
https://www.riskmap.com/incidents/201816/,"Max Blumenthal, Eva Bartlett, Vanessa Beeley, "
https://www.rijksoverheid.nl/actueel/nieuws/2015/12/03/nederland-steunt-syrische-reddingswerkers,
https://www.rferl.org/amp/syria-7-white-helmets-killed/28672896.html,"Vanessa Beeley, Wednesday, "
https://www.rferl.org/a/syria-7-white-helmets-killed/28672896.html,
https://www.researchgate.net/publication/319472716_Power_Petroleum_and_Propaganda_Identifying_the_role_of_the_White_Helmets_in_the_Syrian_Civil_War,"Twitter, "
https://www.refugeesinternational.org/advocacy-letters-1/whitehelmetsdeaths,
https://www.redbubble.com/people/grasslanddesign/works/26735326-lordy-i-hope-there-are-tapes?p=t-shirt&style=mens&body_color=heather_grey&print_location=front,
https://www.redbubble.com/people/grasslanddesign/works/26735306-meddlesome-priest?p=womens-fitted-v-neck&style=womens-fitted-v-neck&body_color=white&print_location=front,
https://www.redbrickcommunications.com/chatsworth-country-fair-press-day/,
https://www.raptureforums.com/forums/threads/seven-white-helmets-killed-in-jihadist-held-syria-town.130786/,"Refugees International, "
https://www.quickloans.co.uk/quick-news/don-t-give-money-to-the-cox-campaign-you-are-funding-terrorism,
https://www.primewire.ag/watch-2796804-Last-Men-in-Aleppo-online-free,
https://www.politwoops.eu/p/eu/julie4nw/891107634950152192,"The Telegraph, "
https://www.politwoops.co.uk/p/scottish-national-party/MrJohnNicolson/887254256536956928,
https://www.podomatic.com/podcasts/21wire/episodes/2017-08-04T13_22_09-07_00,
https://www.podomatic.com/podcasts/21wire/episodes/2017-06-14T08_51_55-07_00,
https://www.perfectbrite.com/blog/7-white-helmets-members-shot-dead-in-northwestern-syria/,
https://www.patreon.com/posts/donation-for-13684895,
https://www.opendemocracy.net/author/george-soros,
https://www.nytimes.com/video/world/middleeast/100000004695192/white-helmets-syria.html,
